,Column 1,Column 2,Column 3,Column 4,Column 5
symbol09symbol07symbol07,0,1,0,0,0
symbol09symbol07symbol09,1,0,0,0,0
symbol09symbol07symbol11,0,1,0,0,0
symbol09symbol08symbol09,0,0,0,0,1
symbol09symbol09symbol03,0,0,1,0,0
symbol09symbol09symbol04,0,0,0,1,1
symbol09symbol09symbol05,1,0,0,0,1
symbol09symbol09symbol06,1,0,0,1,0
symbol09symbol09symbol07,0,0,1,0,0
symbol09symbol09symbol08,1,0,0,0,0
symbol09symbol09symbol09,1,1,0,0,0
symbol09symbol09symbol11,0,0,0,0,1
symbol09symbol10symbol03,0,0,0,1,0
symbol09symbol10symbol04,1,0,0,0,0
symbol09symbol10symbol05,0,0,0,0,1
symbol09symbol10symbol09,0,0,0,1,0
symbol09symbol11symbol03,0,0,0,0,1
symbol09symbol11symbol05,0,0,0,1,0
symbol09symbol12symbol05,0,0,0,1,0
symbol09symbol12symbol06,0,1,0,0,0
symbol09symbol12symbol08,0,0,0,1,0
symbol09symbol12symbol11,0,0,0,1,0
symbol10symbol03symbol09,1,0,0,0,0
symbol10symbol04symbol04,0,0,0,2,0
symbol10symbol05symbol05,0,0,1,0,0
symbol10symbol05symbol11,0,0,0,1,0
symbol10symbol06symbol04,0,0,0,1,1
symbol10symbol06symbol07,0,0,0,0,1
symbol10symbol06symbol09,1,0,0,0,1
symbol10symbol07symbol09,1,1,0,0,0
symbol10symbol07symbol12,0,0,0,1,0
symbol10symbol09symbol08,0,2,0,0,0
symbol10symbol09symbol09,1,0,0,0,0
symbol10symbol11symbol03,0,0,0,0,1
symbol10symbol11symbol06,0,0,0,0,1
symbol10symbol11symbol07,0,1,0,0,0
symbol10symbol11symbol11,0,1,0,0,0
symbol11symbol03symbol05,0,1,0,0,0
symbol11symbol03symbol07,0,0,1,0,0
symbol11symbol03symbol09,1,0,0,0,1
symbol11symbol03symbol11,0,0,0,1,0
symbol11symbol04symbol03,1,0,0,0,0
symbol11symbol05symbol04,0,0,1,0,0
symbol11symbol05symbol05,1,0,0,0,0
symbol11symbol05symbol06,0,1,0,0,0
symbol11symbol05symbol07,1,0,0,0,0
symbol11symbol05symbol09,0,0,1,0,0
symbol11symbol06symbol03,0,0,0,1,1
symbol11symbol06symbol04,0,0,1,0,0
symbol11symbol06symbol06,0,1,0,0,0
symbol11symbol06symbol07,0,1,0,0,0
symbol11symbol07symbol04,0,1,0,0,0
symbol11symbol07symbol05,1,0,0,0,0
symbol11symbol07symbol07,0,0,0,0,1
symbol11symbol07symbol10,0,1,0,0,0
symbol11symbol08symbol09,1,0,0,0,0
symbol11symbol08symbol11,0,0,0,1,0
symbol11symbol09symbol05,1,0,0,0,0
symbol11symbol09symbol07,0,0,0,0,1
symbol11symbol11symbol03,0,0,0,0,1
symbol11symbol11symbol05,0,1,0,0,1
symbol11symbol11symbol10,0,0,1,0,0
symbol12symbol03symbol06,0,0,0,1,0
symbol12symbol03symbol11,1,0,0,0,0
symbol12symbol04symbol09,0,0,0,0,1
symbol12symbol05symbol04,0,0,0,1,0
symbol12symbol05symbol09,0,0,1,0,0
symbol12symbol07symbol08,0,0,0,1,0
symbol12symbol08symbol04,0,0,0,1,0
symbol12symbol09symbol06,0,0,0,1,0
symbol12symbol09symbol11,0,0,0,0,1
symbol12symbol09symbol12,0,0,0,1,0
symbol12symbol10symbol05,0,0,1,0,0
symbol12symbol11symbol03,1,0,0,0,0
symbol12symbol11symbol06,0,0,1,0,1
symbol12symbol12symbol04,0,0,0,1,0
symbol12symbol12symbol06,0,0,1,0,0
symbol12symbol12symbol11,0,0,1,0,0
